Polluted element,Type of pollution,California_Albany,California_Champaign,California_Los-Angeles,Georgia_Chicago,Georgia_San Francisco,Illinois_Springfield,Illinois_Washington
Air,,-81.26,-16.39,11.33,-72.16,43.10,-44.00,83.61
,  Chemical,-46.56,-16.93,12.04,-73.22,44.19,-43.94,82.55
,  Inferior Irrigation,-92.60,-15.54,11.71,-71.66,38.74,-42.34,85.63
,  Solid Waste,-90.53,-11.84,16.23,-67.58,53.88,-37.23,91.33
,  Thermal,-95.34,-21.25,5.33,-76.16,35.58,-52.51,74.95
Soil,,-92.94,-14.73,13.18,-70.33,44.44,-41.77,84.97
,  Groundwater,-92.61,-13.79,13.41,-70.07,48.72,-41.73,83.16
,  Industrial,-88.31,-9.29,16.72,-65.57,54.89,-36.22,93.03
,  Noise,-94.88,-21.28,7.67,-74.11,34.69,-49.93,77.14
,  Urban Activities,-95.94,-14.56,14.94,-71.57,39.46,-39.22,86.55
Water,,-69.34,-17.62,9.20,-74.27,4.55,-46.45,80.14
,  Inorganic Fertilizers,-90.51,-11.11,15.18,-67.99,-94.81,-38.24,90.94
,  Light,-94.38,-18.55,9.84,-75.91,37.18,-48.44,78.68
,  Oxygen-depletion,-96.85,-22.32,4.00,-76.91,34.86,-52.08,71.31
,  Surface water,4.38,-18.50,7.76,-76.29,40.97,-47.04,79.65
