DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,Maximum
DDmx,,15.72,27.08,3.09,23.24,27.52,17.52,24.45,27.52
,  EEbhk,15.72,15.86,2.68,23.24,27.52,6.54,24.45,27.52
,  EEqz,7.10,13.53,3.09,21.08,21.53,17.52,15.04,21.53
,  EEmz,9.53,27.08,0.19,7.13,27.17,16.63,16.83,27.17
DDcjx,,17.30,25.73,8.66,26.86,26.26,19.89,26.52,26.86
,  EEdhv,14.43,15.62,5.34,26.86,23.72,18.85,23.48,26.86
,  EEbkv,17.30,25.73,8.66,25.85,26.26,19.89,26.52,26.52
,  EEkqy,1.83,9.61,1.10,21.22,21.64,17.28,19.33,21.64
DDcy,,16.58,15.30,6.01,23.05,25.48,19.75,25.32,25.48
,  EEcrv,6.51,13.21,4.62,22.29,23.76,5.54,16.33,23.76
,  EEmz,16.58,15.30,6.01,23.05,25.23,19.75,25.32,25.32
,  EEbkv,5.27,2.60,0.24,20.18,25.48,16.74,17.00,25.48
