CC,DD,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,Minimum,EE,FF
CCbt,,78.46,25.36,66.56,10.09,1.67,44.60,84.57,1.67,,
,  DDmx,78.46,25.36,66.56,10.09,1.67,44.60,84.57,1.67,EEmz,FFgqt
,  DDcwz,79.42,33.32,69.74,15.40,3.98,45.63,86.48,3.98,EEmz,FFgqt
,  DDbmz,82.62,39.95,69.50,21.27,8.62,51.88,88.48,8.62,EEmz,FFgqt
CCcy,,79.78,27.87,69.99,15.90,3.38,44.78,83.17,3.38,,
,  DDhpt,80.35,39.39,71.27,18.03,7.96,51.39,83.17,7.96,EEmz,FFgqt
,  DDbsz,83.04,43.69,74.40,25.58,9.61,62.57,95.86,9.61,EEmz,FFgqt
,  DDbkv,79.78,27.87,69.99,15.90,3.38,44.78,85.43,3.38,EEmz,FFgqt
Minimum,,78.46,25.36,66.56,10.09,1.67,44.60,83.17,1.67,,
,  ,78.46,25.36,66.56,10.09,1.67,44.60,83.17,1.67,,
