Quarter,Month,Production_Apartment,Production_Factory,Production_School,Residential_Hospital,Residential_House,Service_Hotel,Service_Workshop,Minimum,State,City
Q1,,87.79,4.45,53.45,40.02,75.87,67.26,28.69,4.45,,
,  August,97.94,16.10,60.59,46.42,82.37,73.04,35.75,16.10,Florida,Fort Lauderdale
,  March,91.06,11.63,60.70,43.68,80.76,68.54,31.11,11.63,Florida,Tampa
,  October,87.79,4.45,53.45,40.02,75.87,67.26,28.69,4.45,Florida,Fort Lauderdale
Q3,,84.84,1.59,51.38,37.18,70.84,65.40,20.87,1.59,,
,  December,88.23,6.95,54.21,40.97,70.84,68.11,29.97,6.95,Florida,Tampa
,  February,93.30,14.11,60.11,44.76,82.62,69.40,29.60,14.11,Florida,Fort Lauderdale
,  September,84.84,1.59,51.38,37.18,74.49,65.40,20.87,1.59,Florida,Fort Lauderdale
Q4,,82.54,3.93,51.99,38.37,74.57,66.63,27.46,3.93,,
,  August,82.54,3.93,51.99,38.37,74.57,66.63,27.46,3.93,Florida,Tampa
,  November,91.97,11.54,53.47,40.68,80.61,69.19,27.58,11.54,Florida,Fort Lauderdale
,  September,95.66,15.09,60.81,45.64,83.48,72.93,34.75,15.09,Florida,Tampa
Minimum,,82.54,1.59,51.38,37.18,70.84,65.40,20.87,1.59,,
,  ,82.54,1.59,51.38,37.18,70.84,65.40,20.87,1.59,,
