Polluted element,Type of pollution,Illinois_Aberdeen_2016,Illinois_Champaign_2016,Illinois_Springfield_2019,Maryland_Baltimore_2021,Maryland_Chicago_2021,Maryland_Columbia_2020
Air,,-14.38,-15.65,45.69,31.82,34.92,60.88
,  Chemical,-77.16,-1.11,83.20,43.01,-6.93,60.01
,  Groundwater,46.73,-33.26,71.52,17.14,87.21,59.21
,  Inorganic Fertilizers,-79.49,-19.06,75.62,31.20,92.93,58.34
,  Noise,52.38,-9.18,-47.57,35.92,-33.55,65.95
Soil,,-15.55,-12.76,-19.80,-37.12,92.33,-2.60
,  Chemical,43.16,-28.11,-58.88,8.16,87.01,58.66
,  Industrial,-81.06,-1.34,73.25,29.61,90.10,59.77
,  Light,-77.40,-16.09,-49.05,-96.62,94.79,-65.99
,  Surface water,53.12,-5.51,-44.52,-89.63,97.42,-62.85
Water,,15.35,-13.72,-21.30,24.82,58.59,-3.41
,  Inferior Irrigation,50.03,-16.14,76.33,32.56,88.92,-66.41
,  Oxygen-depletion,44.76,-25.30,-56.46,23.62,90.26,60.75
,  Surface water,-84.56,-6.85,-59.66,6.25,87.81,-74.33
,  Thermal,51.19,-6.58,-45.41,36.86,-32.65,66.36
