CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBgv,AAcqx_BBcjx,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,EE,FF
CCkqy,,64.14,18.57,68.49,36.60,88.10,50.73,1.34,,
,  DDcwz,64.14,18.57,68.49,36.60,88.10,50.73,1.34,EEmz,FFbpv
,  DDbkv,71.63,30.03,88.37,43.20,99.82,56.91,7.89,EEmz,FFbpv
,  DDbsz,69.31,26.11,83.09,43.23,96.32,51.69,6.23,EEhpx,FFbpv
CCbt,,57.82,9.01,72.23,32.06,89.29,46.11,0.76,,
,  DDmx,57.82,9.01,72.23,32.06,89.29,46.11,0.76,EEmz,FFgqt
,  DDmpy,70.62,28.56,83.16,43.01,95.34,52.43,7.93,EEmz,FFgqt
,  DDhpt,65.02,21.68,80.62,41.04,93.26,51.42,1.08,EEhpx,FFgqt
CCcy,,62.04,12.84,72.64,33.67,89.49,48.36,1.36,,
,  DDmx,71.71,28.21,88.87,45.13,98.74,51.74,8.63,EEhpx,FFlmr
,  DDbkv,62.04,12.84,72.64,33.67,89.49,48.36,1.36,EEhpx,FFlmr
,  DDbmz,68.18,25.19,83.93,42.94,95.77,52.69,3.72,EEmz,FFlmr
