DD,EE,AApqr_BBnry_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AAhpx_BBbwx_CCbt,Average
DDmx,,76.75,-55.09,9.73,75.76,24.56,-35.36,-89.13,47.82,-9.75,5.03
,  EEbhk,78.54,-47.98,17.54,96.57,26.33,-32.71,-83.37,62.28,-4.11,12.57
,  EEbkv,88.79,-45.84,19.91,-3.08,25.10,-26.66,-82.57,63.76,-2.13,4.14
,  EEkqy,71.60,-61.28,2.95,94.81,22.47,-38.77,-91.61,39.11,-15.00,2.70
,  EEcrv,78.78,-53.11,8.95,97.90,26.07,-36.95,-89.17,40.10,-7.05,7.28
,  EEmz,66.03,-67.26,-0.69,92.58,22.85,-41.71,-98.92,33.83,-20.44,-1.53
DDcy,,78.93,-51.95,12.39,36.21,26.05,-34.05,-85.38,52.38,-7.45,3.01
,  EEbkv,68.53,-62.09,1.64,93.46,23.07,-41.23,-97.06,37.41,-15.53,0.91
,  EEkqy,88.35,-42.84,20.22,-99.23,25.22,-24.62,-69.62,64.78,-1.36,-4.34
,  EEdhv,77.79,-50.02,16.80,96.16,27.02,-34.67,-85.87,57.66,-5.10,11.09
,  EEmz,82.08,-47.04,19.83,-5.83,29.23,-32.10,-83.87,63.05,-3.58,2.42
,  EEqz,77.91,-57.74,3.45,96.47,25.72,-37.64,-90.48,39.00,-11.66,5.00
