Polluted element,Type of pollution,Florida_Baltimore_2021,Florida_Fort Lauderdale_2021,Maryland_Aberdeen_2022,Maryland_Boulder City_2022,Nevada_Columbia_2019,Nevada_Las Vegas_2019,Nevada_Tampa_2019,Average
Air,,62.92,-41.53,-75.24,29.98,21.19,11.62,-17.99,-1.29
,  Groundwater,56.15,-44.78,-80.32,25.62,97.85,7.67,-20.57,5.95
,  Industrial,49.23,-48.10,-94.02,22.82,85.60,2.18,-27.52,-1.40
,  Noise,77.15,-32.62,-51.75,41.01,-97.83,19.11,-9.68,-7.80
,  Oxygen-depletion,69.15,-40.63,-74.89,30.47,-0.87,17.50,-14.18,-1.92
Soil,,59.25,-43.71,-77.01,29.05,18.27,10.09,-20.91,-3.57
,  Industrial,76.05,-38.91,-54.55,36.61,-98.26,19.61,-10.70,-10.02
,  Inferior Irrigation,46.14,-49.21,-95.10,23.11,80.09,1.10,-28.31,-3.17
,  Surface water,60.50,-41.20,-75.45,29.85,-0.65,13.17,-22.97,-5.25
,  Thermal,54.30,-45.53,-82.96,26.64,91.92,6.48,-21.65,4.17
Water,,66.69,-39.64,-71.84,33.33,-1.44,13.53,-13.60,-1.85
,  Chemical,58.68,-42.82,-76.24,28.00,99.52,12.15,-19.02,8.61
,  Inferior Irrigation,74.53,-40.55,-71.97,34.92,-99.38,18.07,-11.79,-13.74
,  Noise,53.26,-47.10,-87.67,25.65,90.25,1.15,-22.44,1.87
,  Thermal,80.28,-28.09,-51.47,44.74,-96.14,22.74,-1.13,-4.15
