Polluted element,Type of pollution,Florida_Boulder City,Florida_Washington,Georgia_Albany,Georgia_Fort Lauderdale,Georgia_Reno,Nevada_Columbus,Nevada_Las Vegas,Nevada_Tampa
Air,,-67.34,55.70,7.00,-17.01,78.77,30.70,-31.65,-13.35
,  Noise,-66.27,55.34,8.84,-33.66,79.32,30.55,5.63,-15.72
,  Surface water,-63.33,59.09,9.46,-8.57,83.34,31.65,-90.85,-9.27
,  Urban Activities,-72.43,52.66,2.69,-8.79,73.64,29.91,-9.73,-15.05
Soil,,-63.90,56.76,8.73,-33.51,83.53,18.43,-30.54,-11.76
,  Inferior Irrigation,-68.95,53.82,2.66,-36.44,80.38,29.60,-8.84,-12.47
,  Oxygen-depletion,-58.73,60.49,13.92,-30.99,88.73,-6.03,-89.27,-8.89
,  Thermal,-64.03,55.96,9.60,-33.10,81.48,31.73,6.50,-13.92
Water,,-60.35,58.64,11.49,-32.23,52.94,34.99,-59.09,-9.26
,  Chemical,-64.58,55.57,7.74,-35.01,83.52,31.64,-95.18,-10.13
,  Groundwater,-56.57,61.66,14.87,-28.75,-8.49,38.80,-88.45,-7.58
,  Light,-59.89,58.68,11.86,-32.93,83.80,34.53,6.38,-10.07
