CC,DD,AAmz_BBgqt,AAmz_BBcjx,AApqr_BBbpv,AApqr_BBnqx,AApqr_BBbkv
CCbt,,-22.97,64.17,4.42,14.83,-24.20
,  DDcwz,-20.76,22.71,-7.19,18.72,0.36
,  DDmx,40.75,83.59,42.59,12.19,-3.96
,  DDbmz,-88.91,86.21,-22.14,13.58,-68.99
CCfnw,,-0.78,42.54,-17.63,-5.36,41.72
,  DDkrs,41.61,16.76,-20.02,12.82,-1.53
,  DDgv,-85.41,88.28,-18.03,14.59,60.75
,  DDqz,41.47,22.60,-14.84,-43.49,65.94
CChpx,,-20.21,3.61,-16.13,18.77,19.44
,  DDdlz,43.34,-37.74,-16.71,19.17,59.63
,  DDlmr,-85.59,20.71,-19.44,15.51,-3.20
,  DDcmp,-18.38,27.87,-12.23,21.63,1.89
Average,,-14.65,36.78,-9.78,9.41,12.32
,  ,-14.65,36.78,-9.78,9.41,12.32
