DD,EE,AAgqt_BBhpt_CCbt,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs
Average,,20.89,-18.11,25.84,-70.74,48.45,-46.40,10.51,71.35
,  ,20.89,-18.11,25.84,-70.74,48.45,-46.40,10.51,71.35
DDmx,,43.15,-20.01,24.88,-73.63,46.41,-48.44,9.05,68.68
,  EEbhk,91.32,-18.21,26.37,-68.31,54.25,-43.45,13.62,69.88
,  EEmz,86.81,-28.16,19.65,-85.97,33.08,-56.72,-0.72,61.69
,  EEksy,-96.79,-7.70,30.00,-59.45,57.72,-40.74,16.15,78.82
,  EEqz,91.27,-25.97,23.49,-80.79,40.57,-52.85,7.15,64.32
DDcy,,20.28,-18.84,26.22,-69.80,49.37,-46.62,9.94,71.89
,  EEmpy,-5.60,-20.06,28.66,-64.48,55.70,-42.23,14.00,76.57
,  EEbkv,86.18,-28.98,20.58,-80.06,38.49,-55.81,5.62,62.17
,  EEcrv,91.67,-20.63,23.94,-76.58,47.09,-50.03,5.45,65.23
,  EEjvz,-91.13,-5.70,31.72,-58.06,56.19,-38.41,14.68,83.58
DDcjx,,-0.75,-15.48,26.40,-68.81,49.57,-44.15,12.53,73.47
,  EEhq,-96.42,-11.91,29.31,-60.91,56.44,-40.76,15.07,76.48
,  EEdhv,93.65,-19.59,25.22,-75.19,47.56,-47.81,12.41,69.47
,  EEmz,-90.41,-2.60,29.57,-59.93,54.51,-32.78,16.25,84.11
,  EEkqy,90.17,-27.83,21.52,-79.21,39.77,-55.24,6.40,63.82
