Polluted element,Type of pollution,California_Champaign,California_Las Vegas,California_San Francisco,Illinois_Berkeley,Illinois_Boulder City,Illinois_Chicago,Nevada_Malibu,Nevada_Reno
Air,Chemical,40.11,-12.90,-78.51,-0.13,-34.81,25.30,75.18,-61.09
,Inorganic Fertilizers,33.97,-21.75,-88.76,87.75,-39.86,13.21,61.49,-68.03
,Light,27.74,-29.99,-93.09,82.95,-49.40,1.60,51.51,-74.87
,Oxygen-depletion,36.75,-17.90,-83.52,92.70,-39.73,18.61,66.91,-65.84
Soil,Light,41.92,-11.23,-75.39,-99.28,-31.89,26.08,77.18,-51.90
,Surface water,38.16,-17.11,-82.17,95.86,-35.34,20.77,69.94,-64.61
,Thermal,30.32,-26.50,-93.51,85.86,-47.74,5.56,56.40,-70.48
,Urban Activities,34.60,-20.03,-86.56,87.99,-38.69,16.25,61.04,-70.07
Water,Groundwater,39.82,-15.38,-78.34,99.28,-34.23,21.40,72.35,-67.27
,Inferior Irrigation,35.83,-20.97,-84.64,91.35,-37.93,18.84,61.95,-69.13
,Noise,31.75,-24.77,-88.30,86.19,-43.85,7.32,59.22,-69.67
,Thermal,46.04,-2.45,-74.17,-95.11,-31.99,27.79,77.26,-51.46
