DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt
DDcy,,-60.17,66.82,-33.90,17.67,90.36,-13.01,46.45,-84.23
,  EEqz,-63.29,63.40,-44.13,12.49,86.53,-15.23,44.31,-92.00
,  EEbkv,-66.60,58.88,-46.16,6.29,78.55,-17.47,30.42,-98.94
,  EEdhv,-60.96,67.18,-32.64,18.32,92.39,-17.60,49.83,-86.60
,  EEmpy,-57.73,69.66,-27.04,22.88,96.43,-9.16,51.93,-73.01
,  EEmz,-52.28,74.98,-19.55,28.36,97.91,-5.61,55.76,-70.61
DDmx,,-62.33,64.35,-37.66,14.87,88.32,-13.85,43.98,-87.83
,  EEcrv,-61.40,64.33,-39.63,16.77,90.06,-14.89,47.76,-88.61
,  EEmz,-69.15,56.53,-48.59,1.73,76.02,-18.73,29.51,-99.77
,  EEbhk,-58.80,68.26,-31.40,20.03,96.11,-12.29,50.58,-82.91
,  EEkqy,-66.27,60.65,-44.66,8.86,82.11,-16.86,38.03,-96.50
,  EEhq,-56.03,71.98,-24.02,26.95,97.29,-6.49,54.00,-71.34
