DD,EE,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt
Average,,-5.23,-3.58,16.68,-39.65
,  ,-5.23,-3.58,16.68,-39.65
DDcy,,-19.24,5.28,83.18,-22.41
,  EEcrv,-38.10,-77.31,78.98,27.36
,  EEkqy,-2.95,67.61,92.70,-88.19
,  EEbkv,-33.19,43.69,70.61,8.07
,  EEmpy,-5.08,56.65,86.77,-97.27
,  EEjvz,-16.87,-64.23,86.82,37.98
DDmx,,-27.32,-47.75,-14.30,-50.49
,  EEbkv,-5.33,-63.48,-1.85,-89.00
,  EEbhk,-37.70,-73.64,-46.39,-99.33
,  EEksy,-24.11,-65.46,88.85,-92.69
,  EEmz,-37.65,-86.94,-59.35,3.94
,  EEqz,-31.81,50.79,-52.75,24.63
DDcjx,,30.88,31.72,-18.84,-46.06
,  EEhq,-24.84,57.62,-41.19,-94.83
,  EEkqy,91.62,48.12,74.46,12.85
,  EEmz,-10.80,-63.54,-41.09,-90.22
,  EEdhv,99.87,52.45,-48.50,-99.25
,  EEqz,-1.46,63.94,-37.88,41.13
