CC,DD,AAdn_BBrv,AAdn_BBdl,AAdk_BBpw,AAdk_BBqx,AAdk_BBtw,AAtv_BBhz,AAtv_BBmn
Minimum,,12.81,54.57,38.39,84.43,4.10,71.88,25.97
,  ,12.81,54.57,38.39,84.43,4.10,71.88,25.97
CCst,,16.22,59.17,40.52,86.21,5.65,74.70,26.69
,  DDnw,16.22,59.17,40.52,86.21,5.65,74.70,26.69
,  DDcl,18.07,65.75,48.79,90.32,7.40,78.64,28.18
,  DDcs,23.72,71.07,52.72,95.70,12.26,81.76,37.46
CChv,,12.81,54.57,38.39,84.43,4.10,71.88,25.97
,  DDlp,22.42,66.05,49.22,94.31,12.20,80.04,36.99
,  DDrz,16.02,63.08,45.49,87.40,5.95,76.31,27.08
,  DDnt,12.81,54.57,38.39,84.43,4.10,71.88,25.97
