DD,EE,AAdk_BBtw_CChv,AAdk_BBrz_CChv,AArv_BBsy_CCnw,AArv_BBst_CCnw,Average
DDtv,,-18.03,-13.78,16.13,10.60,-1.27
,  EEdn,-89.03,78.10,-13.53,64.62,10.04
,  EEmn,14.69,-58.74,86.71,-86.37,-10.93
,  EEfx,20.26,-60.70,-24.78,53.54,-2.92
DDpw,,-15.42,-9.87,18.47,16.08,2.32
,  EEfh,17.49,-59.30,88.79,46.66,23.41
,  EEmn,-88.85,83.77,-11.46,-60.21,-19.19
,  EEhr,25.11,-54.08,-21.92,61.80,2.73
DDnt,,17.53,71.20,-29.48,-76.73,-4.37
,  EEdn,7.09,68.07,-44.36,-86.90,-14.03
,  EElp,20.11,68.56,-27.82,-77.78,-4.23
,  EEhl,25.39,76.96,-16.25,-65.52,5.14
Average,,-5.30,15.85,1.71,-16.68,-1.11
,  ,-5.30,15.85,1.71,-16.68,-1.11
