DD,EE,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCbt,AAhpx_BBlsx_CCkrs
DDmx,,-19.60,-54.05,-42.58,52.01,-24.42,10.37,-40.60,2.10
,  EEqz,-16.79,31.73,-36.89,-32.22,61.58,11.49,-82.24,88.68
,  EEmz,-31.15,-98.58,-55.17,93.80,-76.66,-0.64,39.78,-45.12
,  EEbhk,-10.87,-95.29,-35.67,94.46,-58.19,20.26,-79.34,-37.27
DDcjx,,-11.34,-50.77,78.88,-33.73,74.52,17.60,46.43,45.64
,  EEmz,-2.54,-91.74,81.61,-34.06,72.71,28.72,50.55,-37.88
,  EEkqy,-19.47,32.49,75.39,-32.85,60.78,3.61,41.68,86.73
,  EEdhv,-12.02,-93.05,79.63,-34.27,90.08,20.46,47.07,88.08
DDcy,,-13.13,-51.54,35.29,9.75,-24.86,14.30,-82.82,-40.48
,  EEmpy,-3.78,37.39,81.52,-30.68,69.80,25.10,-78.59,-37.75
,  EEbkv,-23.05,-97.26,-54.32,-33.21,-79.64,1.92,-88.64,-44.20
,  EEcrv,-12.56,-94.74,78.67,93.15,-64.73,15.89,-81.23,-39.49
