DD,EE,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,Average
DDmx,,1.55,46.72,-30.35,-47.46,-18.28,26.28,1.29,29.60,1.17
,  EEcrv,4.52,92.34,-71.77,0.03,-9.86,39.67,-79.85,78.63,6.71
,  EEmz,-0.32,-41.59,-75.21,-69.14,-30.02,10.10,39.02,67.35,-12.48
,  EEkqy,0.44,89.41,55.93,-73.28,-14.97,29.08,44.71,-57.19,9.27
DDcy,,4.01,3.88,-73.93,-65.79,-15.17,-7.84,-38.41,-11.28,-25.57
,  EEqz,3.88,-41.08,-72.50,-66.32,-13.87,-90.65,48.16,-56.16,-36.07
,  EEmz,7.05,93.29,-74.23,-62.74,-8.60,38.36,-77.74,-46.13,-16.34
,  EEbkv,1.10,-40.56,-75.05,-68.32,-23.03,28.76,-85.66,68.45,-24.29
Average,,2.78,25.30,-52.14,-56.63,-16.72,9.22,-18.56,9.16,-12.20
,  ,2.78,25.30,-52.14,-56.63,-16.72,9.22,-18.56,9.16,-12.20
