Polluted element,Type of pollution,Massachusetts_Boston,Massachusetts_Port Huron,Massachusetts_Reno,Michigan_Cambridge,Michigan_Detroit,Michigan_Las Vegas,Nevada_Boulder City,Nevada_Flint,Nevada_Lenox,Average
Air,Groundwater,5.34,-54.70,78.25,55.75,-14.06,-77.14,-96.27,-38.60,37.89,-11.50
,Inferior Irrigation,24.78,-45.17,86.34,73.62,-7.51,-65.42,-88.97,-25.88,48.10,-0.01
,Oxygen-depletion,15.42,-51.07,82.17,70.16,-10.81,-71.49,-92.83,-30.43,43.30,-5.06
,Thermal,1.50,-61.98,75.42,51.60,-21.77,-82.52,88.63,-38.86,32.72,4.97
Soil,Chemical,14.04,-54.35,82.80,69.34,-12.26,-75.75,-92.75,-33.44,43.17,-6.58
,Inorganic Fertilizers,21.44,-48.94,85.89,70.92,-8.76,-67.73,-91.64,-30.95,45.49,-2.70
,Light,29.69,-40.33,88.81,72.33,-2.33,-62.48,-91.31,-22.22,51.30,2.61
,Noise,2.37,-57.56,78.88,53.67,-16.25,-78.90,99.20,-38.42,35.79,8.75
Water,Light,2.69,-60.85,77.15,53.90,-16.36,-80.56,94.23,-37.80,32.78,7.24
,Solid Waste,16.57,-52.87,83.71,71.90,-9.37,-67.36,-91.75,-29.97,43.62,-3.95
,Surface water,13.58,-53.12,81.46,63.52,-13.39,-75.61,-93.05,-33.12,37.65,-8.01
,Thermal,24.27,-41.76,86.46,74.88,-5.50,-63.69,-93.10,-25.83,50.77,0.72
