CC,DD,AAmz_BBgqt,AAmz_BBbpv,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx,AAcy_BBbkv,AAcy_BBhpt
CCfnw,DDkrs,17.01,62.13,90.96,53.57,3.78,34.01,76.35
,DDqz,25.73,63.88,93.66,53.54,6.43,41.40,76.58
,DDgv,34.51,70.88,97.63,59.56,15.29,48.43,77.30
CCbt,DDcwz,22.26,63.64,90.98,55.54,6.87,37.57,76.96
,DDmx,17.35,62.99,85.40,52.41,1.11,34.67,73.24
,DDbmz,28.69,69.28,94.40,58.06,14.77,47.18,77.73
CChpx,DDlmr,15.47,64.96,90.74,53.89,3.16,38.08,77.07
,DDcmp,26.27,68.72,93.69,54.03,12.02,46.15,80.31
,DDmx,35.58,72.95,97.99,60.16,16.53,48.84,78.54
Minimum,,15.47,62.13,85.40,52.41,1.11,34.01,73.24
