Polluted element,Type of pollution,California_Albany_2020,California_Boston_2020,California_San Francisco_2021,Georgia_Berkeley_2021,Georgia_Washington_2020,Massachusetts_Cambridge_2021,Massachusetts_Columbus_2021,Massachusetts_Los-Angeles_2020
Air,Solid Waste,-17.61,36.09,-60.40,-82.24,-51.28,21.68,-36.40,-70.75
,Surface water,-23.27,32.32,64.53,-86.00,-54.13,5.59,83.52,53.14
,Thermal,95.54,24.33,-70.02,39.15,-59.45,1.68,82.79,-79.60
Soil,Noise,99.63,-98.94,-65.08,42.02,-55.44,5.52,-44.07,50.56
,Oxygen-depletion,-18.73,-96.47,67.88,41.27,76.22,20.69,90.80,55.16
,Thermal,-4.50,-91.15,-59.19,-86.08,71.92,21.18,-34.30,-68.26
Water,Chemical,-21.73,32.97,-64.22,-84.41,-56.14,10.18,-38.71,-74.97
,Inorganic Fertilizers,-5.36,-91.92,-59.66,47.25,77.73,22.62,-36.80,-69.10
,Light,98.29,-99.44,62.02,41.20,72.84,3.23,-45.14,49.98
Average,,22.47,-39.13,-20.46,-14.20,2.47,12.49,2.41,-17.09
