DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbpv,AAgqt_BBlsx_CCkrs
DDcy,EEbkv,-9.07,14.70,-54.17,53.98,-85.66,-14.27
,EEmpy,93.69,16.19,-63.94,60.85,-83.56,-19.33
,EEjvz,99.45,24.86,-44.71,63.89,-76.24,-10.46
,EEcrv,85.08,4.76,-65.08,46.11,-86.24,-21.41
DDcjx,EEdhv,86.34,9.12,-63.86,46.86,-85.56,-20.50
,EEdfk,0.85,25.56,-43.90,67.92,-75.68,-11.94
,EEkqy,-7.78,17.13,-49.88,59.27,-82.59,-13.14
,EEhq,96.13,18.96,-64.02,61.28,-79.75,-16.22
DDmx,EEqz,84.79,3.42,-65.86,44.73,-88.76,-22.53
,EEksy,97.29,23.96,-47.66,62.58,-77.53,-11.44
,EEbhk,92.30,10.99,-62.96,55.86,-85.71,-19.50
,EEmz,40.21,13.82,-57.58,52.16,-87.78,-16.32
