DD,EE,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,Maximum
DDcjx,,7.90,14.25,27.24,26.81,8.50,16.19,24.94,27.24
,  EEkqy,7.40,11.16,27.24,21.97,2.31,16.19,15.25,27.24
,  EEhq,0.15,8.45,25.34,26.81,8.50,7.47,24.94,26.81
,  EEdhv,7.90,14.25,0.74,23.45,5.75,5.55,23.50,23.50
DDmx,,27.62,15.08,23.61,26.19,4.04,18.81,23.32,27.62
,  EEmz,7.15,9.46,20.04,22.77,0.82,1.58,17.66,22.77
,  EEqz,7.00,12.87,21.29,25.93,3.47,17.80,21.04,25.93
,  EEbhk,27.62,15.08,23.61,26.19,4.04,18.81,23.32,27.62
DDcy,,10.96,12.19,24.89,26.97,4.79,19.93,25.72,26.97
,  EEbkv,7.82,9.92,20.99,26.23,1.81,3.25,13.18,26.23
,  EEcrv,6.16,11.72,21.33,26.25,4.24,17.33,22.22,26.25
,  EEmpy,10.96,12.19,24.89,26.97,4.79,19.93,25.72,26.97
