Quarter,Month,Production_Hospital,Production_House,Production_Workshop,Residential_Factory,Residential_Hotel,Residential_School,Service_Apartment,Service_Library
Q2,,95.09,16.29,55.48,44.03,3.83,80.80,28.76,70.23
,  August,95.91,16.29,55.48,44.03,3.83,82.99,28.76,70.23
,  December,98.93,19.29,62.18,48.90,7.54,80.80,31.69,76.20
,  September,95.09,20.60,66.96,51.83,11.83,92.69,38.32,74.30
Q3,,95.44,15.84,55.84,43.79,2.52,76.06,18.32,70.41
,  April,98.23,17.52,56.66,47.28,7.20,78.93,30.65,75.77
,  November,98.36,21.67,62.70,50.55,11.01,89.18,31.02,78.35
,  September,95.44,15.84,55.84,43.79,2.52,76.06,18.32,70.41
Q4,,97.87,14.71,57.08,45.43,7.16,83.96,29.25,74.14
,  August,98.43,23.70,68.76,52.19,14.02,94.32,39.69,78.73
,  May,97.87,14.71,57.08,45.43,7.16,83.96,29.25,74.14
,  October,98.60,15.89,62.08,49.17,10.36,86.06,31.77,74.58
Minimum,,95.09,14.71,55.48,43.79,2.52,76.06,18.32,70.23
,  ,95.09,14.71,55.48,43.79,2.52,76.06,18.32,70.23
