Category,Item,Import_2015,Import_2016,Import_2019,Average
Beverage,,720.05,511.97,272.25,501.42
,  Chicken,856.27,398.05,581.93,612.08
,  Coffee,841.40,687.89,50.25,526.51
,  Milk,462.48,449.98,184.57,365.68
Dairy,,551.98,451.72,700.12,567.94
,  Butter,211.41,455.79,316.25,327.82
,  Duck,984.11,400.58,965.17,783.29
,  Juice,460.42,498.79,818.94,592.72
Meat,,724.88,563.20,660.85,649.64
,  Beef,468.74,652.21,578.52,566.49
,  Coffee,988.53,340.30,454.84,594.56
,  Tea,717.36,697.08,949.18,787.87
Average,,665.64,508.96,544.41,573.00
,  ,665.64,508.96,544.41,573.00
