DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AApqr_BBnqx_CCbt
DDcjx,,74.43,-39.72,45.46,-80.16,-7.38,-8.37,15.55
,  EEdhv,73.30,-44.45,39.02,-87.09,-9.52,-10.23,13.30
,  EEkqy,72.87,-39.34,46.98,-80.27,-6.48,-7.43,15.28
,  EEhq,77.12,-35.36,50.38,-73.11,-6.15,-7.45,18.06
DDcy,,72.76,-40.87,44.05,-84.58,26.89,-10.52,14.53
,  EEbkv,72.32,-42.01,44.25,-82.25,-6.20,-9.48,14.82
,  EEmpy,77.76,-35.37,49.53,-78.75,-7.94,-8.49,17.33
,  EEcrv,68.21,-45.23,38.36,-92.75,94.83,-13.58,11.44
DDmx,,69.72,-45.46,40.74,-87.92,28.10,-12.97,12.52
,  EEqz,64.04,-46.85,37.75,-92.50,92.08,-12.90,11.62
,  EEbhk,75.53,-43.04,43.52,-86.74,-0.82,-13.51,11.68
,  EEmz,69.58,-46.48,40.95,-84.52,-6.97,-12.50,14.26
Average,,72.30,-42.02,43.41,-84.22,15.87,-10.62,14.20
,  ,72.30,-42.02,43.41,-84.22,15.87,-10.62,14.20
