CC,DD,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBnqx,AApqr_BBbgp,Average
CCbt,,-12.64,37.35,-91.28,-62.80,66.92,85.35,13.64,-40.79,-0.53
,  DDcwz,-14.61,36.24,-91.91,-70.19,67.57,80.78,10.83,-44.40,-3.21
,  DDmpy,-7.60,47.47,-85.17,-50.00,72.55,98.30,21.95,-27.61,8.74
,  DDbmz,-10.99,40.61,-89.64,-53.07,70.79,84.84,16.30,-36.38,2.81
,  DDmx,-17.37,25.09,-98.41,-77.96,56.76,77.48,5.49,-54.79,-10.46
CChpx,,-10.96,41.01,-87.65,-58.00,70.05,39.42,16.64,-36.32,-3.23
,  DDlmr,-14.04,27.23,-94.53,-72.51,66.13,79.50,9.22,-47.31,-5.79
,  DDkrs,-2.31,53.16,-79.87,-52.71,76.36,-99.07,23.05,-18.12,-12.44
,  DDcmp,-14.08,39.45,-89.66,-54.52,66.53,84.17,15.97,-51.18,-0.42
,  DDdlz,-13.42,44.19,-86.55,-52.27,71.16,93.06,18.32,-28.68,5.73
CCfnw,,-10.88,39.79,-89.35,-59.38,68.58,62.53,13.95,-35.30,-1.26
,  DDgv,-9.40,41.98,-89.78,-52.54,71.60,90.56,16.33,-31.52,4.65
,  DDkrs,-15.31,26.58,-97.88,-78.96,60.28,76.37,6.41,-46.80,-8.66
,  DDqz,-12.38,36.96,-90.10,-55.73,67.31,82.29,11.71,-44.35,-0.54
,  DDmx,-6.42,53.62,-79.64,-50.27,75.11,0.88,21.33,-18.54,-0.49
Average,,-11.49,39.38,-89.43,-60.06,68.51,62.43,14.74,-37.47,-1.67
,  ,-11.49,39.38,-89.43,-60.06,68.51,62.43,14.74,-37.47,-1.67
