CC,DD,AApqr_BBnqx,AApqr_BBqz,AApqr_BBlt,AAcqx_BBgv,AAcqx_BBcjx,AAfnw_BBbgp,AAfnw_BBknr,AAfnw_BBkrs,Minimum,EE,FF
CCcy,,3.04,37.16,72.03,61.35,26.45,47.28,88.91,16.82,3.04,,
,  DDbkv,3.04,37.16,72.03,61.35,26.45,47.28,88.91,16.82,3.04,EEmz,FFlmr
,  DDmx,12.79,46.04,85.77,73.84,34.65,52.84,96.35,18.30,12.79,EEmz,FFlmr
,  DDbmz,5.57,43.42,81.47,70.52,30.82,53.52,93.62,19.02,5.57,EEmz,FFgqt
CCbt,,0.97,36.07,69.53,53.63,25.95,43.03,87.73,15.52,0.97,,
,  DDhpt,5.60,40.09,69.53,69.65,29.11,52.30,92.06,15.52,5.60,EEmz,FFlmr
,  DDmx,0.97,36.07,75.81,53.63,25.95,43.03,87.73,15.94,0.97,EEmz,FFgqt
,  DDmpy,11.97,44.41,85.88,72.20,32.58,55.45,95.66,19.89,11.97,EEmz,FFgqt
CCkqy,,4.96,39.59,71.75,68.47,28.59,51.01,91.71,17.80,4.96,,
,  DDbkv,12.18,45.75,87.46,74.03,35.40,51.92,95.26,24.97,12.18,EEmz,FFgqt
,  DDbsz,8.70,44.39,84.64,71.29,28.72,51.55,94.52,19.27,8.70,EEmz,FFlmr
,  DDcwz,4.96,39.59,71.75,68.47,28.59,51.01,91.71,17.80,4.96,EEmz,FFgqt
