Polluted element,Type of pollution,Massachusetts_Lenox_2017,Massachusetts_Reno_2019,Massachusetts_Salem_2017,Nevada_Boston_2019,Nevada_Las Vegas_2017,Nevada_Portland_2019,Oregon_Boulder City_2019,Oregon_Cambridge_2017,Oregon_Redmond_2017,Average
Air,Groundwater,-6.46,-77.00,55.39,-32.66,-97.59,36.56,76.77,-55.15,12.18,-9.77
,Inorganic Fertilizers,-1.23,-73.45,60.79,-29.70,-92.57,39.90,75.90,-48.51,15.96,-5.88
,Solid Waste,-22.73,-85.67,46.31,-39.73,87.94,29.46,66.71,-62.66,6.28,2.88
,Surface water,-25.26,-89.62,41.38,-42.89,87.02,20.73,64.47,-68.65,3.91,-0.99
,Thermal,-10.69,-83.80,52.13,-38.06,95.74,33.52,72.58,-58.35,9.40,8.05
Soil,Industrial,-27.81,-87.75,45.06,-39.92,87.24,28.66,66.16,-64.47,5.66,1.43
,Light,-7.99,-82.73,52.24,-33.67,-98.53,35.31,75.06,-55.81,11.02,-11.68
,Oxygen-depletion,-26.94,-91.09,40.37,-44.72,84.36,16.23,63.37,-73.19,2.73,-3.21
,Surface water,-3.19,-74.20,59.77,-30.91,-94.65,38.14,78.19,-51.97,11.06,-7.53
,Urban Activities,-12.95,-82.07,51.00,-36.82,91.83,31.78,70.17,-58.94,8.25,6.92
Water,Groundwater,-27.42,-91.15,40.14,-45.33,81.17,16.37,60.06,-74.48,0.54,-4.46
,Inferior Irrigation,-14.99,-83.91,48.96,-39.03,91.34,31.30,70.58,-60.40,6.73,5.62
,Inorganic Fertilizers,-24.29,-88.96,43.94,-40.98,87.07,26.46,64.13,-67.54,2.49,0.26
,Noise,-8.96,-83.33,53.32,-39.60,0.40,31.25,73.27,-57.09,10.57,-2.24
,Oxygen-depletion,-4.19,-75.82,51.62,-35.96,-96.25,34.40,75.26,-51.55,-1.57,-11.56
Average,,-15.01,-83.37,49.49,-38.00,20.97,30.00,70.18,-60.58,7.01,-2.14
