Polluted element,Type of pollution,California_Columbus_2017,California_Hastings_2017,California_Los-Angeles_2017,Georgia_Minneapolis_2022,Georgia_San Francisco_2022,Georgia_Washington_2022,Minnesota_Albany_2021,Minnesota_Malibu_2021,Minnesota_Rochester_2021
Average,,80.83,-65.50,12.68,-47.70,35.99,73.98,-85.48,60.63,-20.59
,  ,80.83,-65.50,12.68,-47.70,35.99,73.98,-85.48,60.63,-20.59
Air,,80.95,-66.09,13.23,-47.55,35.89,63.01,-85.54,61.36,-20.36
,  Inorganic Fertilizers,83.87,-63.00,16.68,-46.67,39.37,97.60,-83.43,64.77,-13.32
,  Noise,80.21,-66.10,10.02,-47.67,31.89,94.17,-87.57,57.81,-28.39
,  Surface water,78.78,-69.18,12.99,-48.30,36.41,-2.74,-85.62,61.51,-19.37
Soil,,81.35,-64.18,13.23,-46.06,37.50,63.58,-84.17,62.62,-16.84
,  Groundwater,79.58,-63.34,14.41,-47.34,39.58,-2.61,-84.94,62.30,-15.27
,  Light,81.15,-66.32,9.07,-47.84,31.52,95.42,-86.06,57.34,-22.86
,  Urban Activities,83.32,-62.87,16.21,-43.01,41.41,97.92,-81.49,68.23,-12.40
Water,,80.18,-66.24,11.58,-49.47,34.59,95.35,-86.73,57.91,-24.55
,  Chemical,78.73,-68.05,9.32,-50.42,30.92,93.97,-89.60,55.57,-28.86
,  Oxygen-depletion,78.91,-66.66,12.23,-50.63,35.48,95.17,-86.42,59.69,-24.07
,  Thermal,82.91,-64.03,13.19,-47.37,37.36,96.90,-84.17,58.47,-20.74
