CC,DD,AApqr_BBnqx,AApqr_BBbpv,AApqr_BBbkv,AAmz_BBgqt,AAmz_BBcjx,Average
CChpx,DDcmp,-47.97,-22.05,-57.99,41.94,88.21,0.43
,DDmx,29.38,-3.31,-48.31,-77.11,95.51,-0.77
,DDdlz,25.09,-10.71,79.65,-77.51,92.93,21.89
,DDlmr,11.15,99.19,-65.46,38.18,-43.20,7.97
CCbt,DDbmz,24.51,-18.27,77.29,47.81,-41.20,18.03
,DDcwz,13.10,-26.18,63.16,39.39,-42.86,9.32
,DDmpy,81.90,-10.12,80.72,51.52,-34.52,33.90
,DDmx,0.83,-32.23,60.51,-98.63,83.24,2.74
CCfnw,DDkrs,10.08,96.54,62.96,-95.67,83.80,31.54
,DDknr,28.01,-7.34,-47.81,-76.91,-33.41,-27.49
,DDgv,25.16,-11.06,78.54,50.22,-38.36,20.90
,DDqz,18.26,-24.21,69.67,40.33,87.74,38.36
Average,,18.29,2.52,29.41,-9.70,24.82,13.07
