CC,DD,AAmz_BBbpv,AAmz_BBgqt,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBcjx,AApqr_BBbgp,AApqr_BBnqx,Average
CCbt,,49.69,-65.98,-29.59,-30.59,33.52,-13.11,8.04,-6.86
,  DDbmz,91.17,-92.40,-24.77,-1.21,68.38,-8.59,18.47,7.29
,  DDmx,73.64,20.37,-33.64,-88.41,61.88,-16.99,1.07,2.56
,  DDlmr,77.06,-99.31,-31.98,44.65,64.11,-15.81,1.53,5.75
,  DDqz,-43.10,-92.58,-27.97,-77.40,-60.28,-11.04,11.11,-43.04
CCfnw,,20.76,-29.66,36.84,18.36,36.59,-10.18,10.77,11.92
,  DDgv,-35.97,40.22,-22.90,60.28,-55.40,-1.11,19.88,0.71
,  DDkrs,-55.05,26.45,96.05,-88.93,62.96,-15.60,1.80,3.95
,  DDcmp,89.66,-91.77,-25.48,52.36,70.34,-10.88,17.03,14.47
,  DDcwz,84.39,-93.56,99.68,49.74,68.45,-13.12,4.35,28.56
