CC,DD,AAdk_BBqx,AAdk_BBpw,AAdk_BBtw,AAtv_BBhz,AAtv_BBmn,AAdn_BBdl,AAdn_BBrv,AAdn_BBhr
Minimum,,84.01,37.19,0.30,76.67,24.97,45.42,18.91,91.64
,  ,84.01,37.19,0.30,76.67,24.97,45.42,18.91,91.64
CChv,,84.01,37.72,0.30,76.67,24.97,45.42,18.91,91.64
,  DDrz,86.29,39.86,6.60,78.25,29.78,53.23,23.02,95.34
,  DDlp,88.10,44.85,10.21,81.09,24.97,58.05,25.75,98.42
,  DDnt,84.01,37.72,0.30,76.67,26.19,45.42,18.91,91.64
CCst,,85.24,37.19,2.15,77.47,27.43,52.77,19.24,93.60
,  DDnw,85.24,37.19,2.15,77.47,27.43,52.77,19.24,93.60
,  DDnt,90.76,45.97,17.06,82.52,35.56,69.71,26.58,99.40
,  DDcl,88.27,40.91,8.08,79.90,29.88,54.77,24.24,95.57
