DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs
DDcjx,,70.99,12.13,-28.01,44.12,-37.23
,  EEkqy,61.49,4.55,-40.08,-48.41,-85.58
,  EEdhv,73.11,11.71,-28.35,88.12,47.51
,  EEmz,78.37,20.13,-15.60,92.66,-73.63
DDmx,,-19.24,6.39,13.59,-0.19,39.57
,  EEqz,-60.83,6.82,-32.03,-42.33,44.03
,  EEbhk,74.45,13.32,-20.71,-38.73,48.26
,  EEmz,-71.34,-0.98,93.51,80.48,26.43
DDcy,,-17.85,9.31,58.25,0.54,-41.80
,  EEcrv,70.10,9.48,99.52,-40.50,-81.62
,  EEbkv,-70.77,2.62,94.42,81.51,36.13
,  EEmpy,-52.89,15.83,-19.20,-39.38,-79.90
Average,,11.30,9.28,14.61,14.82,-13.15
,  ,11.30,9.28,14.61,14.82,-13.15
