Characteristic,Intensity,2019_Illinois_Aberdeen,2019_Illinois_Chicago,2019_Illinois_Springfield,2021_Maryland_Baltimore,2021_Maryland_Champaign,2021_Maryland_Columbia,Maximum
Humidity,,12.18,27.33,22.28,24.25,15.96,6.02,27.33
,  0-10,12.18,26.99,7.56,21.69,12.99,1.09,26.99
,  Low,9.47,27.33,16.86,9.70,11.47,0.20,27.33
,  Storm,10.20,24.69,22.28,24.25,15.96,6.02,24.69
Temperature,,16.57,25.53,22.85,22.31,16.84,7.36,25.53
,  Calm,13.04,22.15,7.20,21.06,12.67,0.25,22.15
,  High,10.68,25.53,17.70,19.38,11.96,1.88,25.53
,  Low,16.57,3.44,22.85,22.31,16.84,7.36,22.85
Wind,,13.18,25.62,24.12,25.11,16.22,7.73,25.62
,  31-40,11.98,24.17,18.90,19.50,11.18,0.71,24.17
,  Breeze,9.39,25.62,21.29,23.98,13.96,5.77,25.62
,  High,13.18,10.88,24.12,25.11,16.22,7.73,25.11
Maximum,,16.57,27.33,24.12,25.11,16.84,7.73,27.33
,  ,16.57,27.33,24.12,25.11,16.84,7.73,27.33
