CC,DD,AAfnw_BBbgp,AAfnw_BBkrs,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBqz,AApqr_BBlt,AApqr_BBnqx,EE,FF
CCkqy,,58.47,12.88,29.26,71.94,41.71,84.79,5.38,,
,  DDmx,63.05,23.60,37.28,75.47,54.57,96.02,8.04,EEmz,FFbpv
,  DDbsz,63.39,21.66,32.14,76.55,45.22,93.93,8.24,EEhpx,FFbpv
,  DDcwz,58.47,12.88,29.26,71.94,41.71,84.79,5.38,EEmz,FFbpv
CCbt,,54.08,12.29,24.22,63.68,37.84,80.74,2.29,,
,  DDmx,54.08,12.29,24.22,63.68,37.84,80.74,2.29,EEmz,FFgqt
,  DDmpy,64.06,22.34,34.91,76.33,46.25,93.33,9.36,EEmz,FFgqt
,  DDhpt,60.83,16.85,29.13,72.29,41.79,88.76,6.95,EEhpx,FFgqt
CCcy,,56.08,13.31,22.01,63.93,36.22,83.79,4.68,,
,  DDbkv,56.08,13.31,22.01,63.93,36.22,83.79,4.68,EEhpx,FFlmr
,  DDhlt,64.60,23.74,36.87,78.19,52.52,95.65,10.26,EEhpx,FFlmr
,  DDbmz,62.09,19.27,31.68,75.20,44.62,89.21,6.00,EEmz,FFlmr
Minimum,,54.08,12.29,22.01,63.68,36.22,80.74,2.29,,
,  ,54.08,12.29,22.01,63.68,36.22,80.74,2.29,,
