Quarter,Month,Culture_Hospital,Culture_Theatre,Production_Administration,Production_Factory,Service_Concert,Service_Workshop,Minimum
Q1,March,0.17,10.28,44.34,93.53,29.66,73.46,0.17
,May,68.90,18.82,53.81,96.92,34.26,85.99,18.82
,October,58.53,6.28,39.13,86.45,23.92,73.54,6.28
Q2,December,70.46,20.14,54.44,97.21,34.96,85.80,20.14
,February,65.26,15.25,47.15,94.85,31.94,78.76,15.25
,November,60.91,8.97,42.86,88.60,23.25,72.33,8.97
Q4,December,57.18,2.24,37.43,85.56,20.48,72.85,2.24
,January,60.80,10.04,43.72,91.83,27.07,73.12,10.04
,June,64.16,16.73,48.66,93.12,31.31,78.06,16.73
Minimum,,0.17,2.24,37.43,85.56,20.48,72.33,0.17
