Polluted element,Type of pollution,California_Baltimore,California_Los-Angeles,Maryland_Aberdeen,Maryland_Malibu,Maryland_San Francisco,Average
Air,Groundwater,-93.72,66.46,7.74,51.38,86.11,23.59
,Noise,45.98,-55.24,14.19,59.25,-38.02,5.23
,Surface water,53.77,-46.80,26.82,-62.05,-13.57,-8.37
,Urban Activities,49.57,79.15,22.17,62.93,-31.97,36.37
Soil,Chemical,-90.07,66.58,9.90,57.79,86.05,26.05
,Groundwater,53.39,82.92,27.90,67.94,-7.10,45.01
,Light,-82.17,-54.48,18.54,60.85,93.15,7.18
,Solid Waste,-77.35,-49.60,22.03,57.04,-20.59,-13.69
Water,Inferior Irrigation,52.06,80.20,24.31,-70.26,-16.77,13.91
,Oxygen-depletion,44.92,70.13,9.51,56.38,89.18,54.02
,Surface water,33.94,-60.24,5.73,55.10,-44.05,-1.90
,Thermal,49.05,77.50,20.23,-67.90,93.59,34.49
