Polluted element,Type of pollution,Georgia_Albany_2017,Georgia_Reno_2017,Nevada_Boulder City_2019,Nevada_Redmond_2019,Oregon_Columbus_2016,Oregon_Las Vegas_2016,Oregon_Portland_2016,Average
Air,,-39.42,70.39,-62.33,37.36,-18.43,-65.90,17.34,-8.72
,  Inferior Irrigation,-40.15,72.35,-60.03,37.48,-18.92,-92.96,18.79,-11.92
,  Inorganic Fertilizers,-32.36,81.45,-60.74,38.69,-13.69,-85.16,25.66,-6.59
,  Light,-44.47,62.09,-66.22,35.40,-24.86,-96.23,10.92,-17.62
,  Oxygen-depletion,-40.72,65.68,-62.34,37.86,-16.26,10.73,13.97,1.28
Soil,,-39.01,72.68,-60.97,37.55,-17.53,-64.03,18.94,-7.48
,  Solid Waste,-39.03,74.25,-60.69,36.93,-17.88,-90.61,19.15,-11.13
,  Surface water,-39.03,68.66,-59.91,37.47,-15.71,13.19,19.56,3.46
,  Thermal,-45.18,65.15,-65.97,36.35,-22.60,-95.35,11.94,-16.52
,  Urban Activities,-32.80,82.68,-57.30,39.43,-13.94,-83.34,25.11,-5.74
Water,,-42.30,68.71,-63.24,37.13,-21.88,-19.55,16.02,-3.59
,  Chemical,-45.05,61.82,-67.15,34.11,-31.81,99.52,10.34,8.83
,  Groundwater,-41.05,64.38,-64.28,37.26,-18.95,3.85,14.52,-0.61
,  Industrial,-40.82,77.46,-60.33,40.19,-16.86,-85.23,23.37,-8.89
,  Noise,-42.28,71.19,-61.21,36.96,-19.92,-96.35,15.83,-13.68
Average,,-40.25,70.60,-62.18,37.34,-19.28,-49.83,17.43,-6.60
,  ,-40.25,70.60,-62.18,37.34,-19.28,-49.83,17.43,-6.60
