DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt
Average,,39.55,-14.23,-11.49,60.18,-72.09,-38.46,11.47,78.82
,  ,39.55,-14.23,-11.49,60.18,-72.09,-38.46,11.47,78.82
DDcjx,,41.65,-11.54,-32.79,61.73,-70.58,-35.78,14.39,80.50
,  EEkqy,39.88,-11.71,0.10,60.98,-70.41,-35.49,14.84,80.87
,  EEdhv,40.63,-12.17,0.41,60.29,-72.57,-40.72,10.06,78.82
,  EEhq,44.43,-10.75,-98.89,63.91,-68.77,-31.12,18.26,81.82
DDmx,,36.90,-16.91,-1.66,58.15,-73.94,-41.69,8.85,77.65
,  EEqz,32.50,-18.39,98.98,56.89,-76.47,-43.37,6.20,76.20
,  EEmz,37.87,-19.41,-4.67,56.47,-74.44,-40.57,10.36,77.41
,  EEbhk,40.33,-12.92,-99.28,61.09,-70.90,-41.14,10.00,79.34
DDcy,,40.11,-14.25,-0.01,60.67,-71.74,-37.91,11.17,78.31
,  EEmpy,42.68,-12.78,-98.03,62.95,-69.90,-32.18,12.50,78.12
,  EEcrv,39.64,-14.86,99.69,59.51,-73.66,-41.30,9.54,77.81
,  EEbkv,38.01,-15.12,-1.68,59.55,-71.66,-40.24,11.47,79.02
