DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCbt
DDmx,,-0.06,-15.33,-9.19,39.20
,  EEbhk,99.23,-76.84,32.18,73.90
,  EEksy,-5.50,-76.08,-88.73,76.35
,  EEmz,-48.06,44.57,2.15,65.56
,  EEqz,-45.90,47.03,17.65,-59.02
DDcjx,,5.85,-25.36,18.03,41.58
,  EEbkv,-2.64,-67.53,-4.72,79.97
,  EEdhv,88.20,-78.43,24.13,71.25
,  EEkqy,-50.68,47.47,14.58,67.84
,  EEhq,-11.47,-2.95,38.12,-52.74
DDcy,,-27.66,-13.94,-5.13,7.79
,  EEcrv,-42.64,-78.24,18.70,70.27
,  EEmpy,-14.30,53.72,37.59,-54.38
,  EEmz,-4.38,49.76,-85.82,-51.82
,  EEbkv,-49.31,-81.02,9.00,67.08
Average,,-7.29,-18.21,1.24,29.52
,  ,-7.29,-18.21,1.24,29.52
