Polluted element,Type of pollution,Michigan_Boulder City_2016,Michigan_Hastings_2016,Michigan_Port Huron_2016,Minnesota_Detroit_2017,Minnesota_Las Vegas_2017,Minnesota_Rochester_2017,Nevada_Flint_2021,Nevada_Reno_2021,Average
Air,Groundwater,-3.50,35.88,-85.26,94.92,-39.16,15.01,62.96,-60.02,2.60
,Inorganic Fertilizers,-9.41,29.39,-91.04,80.41,-43.31,11.89,60.74,-66.52,-3.48
,Noise,-32.18,16.06,-2.81,70.43,-53.15,3.78,48.53,-80.01,-3.67
,Solid Waste,-18.29,28.81,-95.49,76.84,-45.54,4.19,52.52,-74.14,-8.89
Soil,Industrial,-16.74,29.89,-95.23,77.48,-45.95,9.78,56.38,-75.17,-7.45
,Noise,-2.45,39.17,-84.67,97.10,-36.54,16.34,65.68,-57.79,4.61
,Surface water,-8.33,32.72,-90.03,-9.28,-9.14,12.23,60.90,-65.33,-9.53
,Thermal,-22.90,15.55,-2.05,72.35,-50.31,3.02,51.38,-76.56,-1.19
Water,Chemical,-7.27,33.62,-86.40,89.02,-40.31,12.80,60.08,-67.09,-0.69
,Light,-19.34,25.70,0.31,75.14,-50.73,4.22,52.62,-75.74,1.52
,Thermal,-1.48,46.74,-82.16,98.04,-34.74,17.62,66.42,-54.51,6.99
,Urban Activities,-10.48,30.49,-93.98,78.90,-45.12,9.93,57.80,-67.00,-4.93
Average,,-12.70,30.34,-67.40,75.11,-41.17,10.07,58.00,-68.32,-2.01
