CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBbkv,AAcy_BBhpt,Average
CCbt,DDmpy,-83.29,11.67,44.15,-46.93,79.05,-16.55,-1.98
,DDbmz,-90.42,10.45,36.13,-52.87,70.49,-18.10,-7.39
,DDcwz,-0.57,5.29,31.60,-58.40,64.19,-21.43,3.45
,DDmx,11.81,8.41,39.15,-55.33,71.83,-20.73,9.19
CCfnw,DDknr,-76.17,11.78,50.71,-45.35,80.52,-14.80,1.11
,DDqz,-98.84,6.28,33.69,-57.23,66.19,-20.10,-11.67
,DDkrs,14.41,10.95,42.37,-49.12,72.65,-19.04,12.04
,DDgv,-87.44,11.92,39.97,-50.72,70.54,-17.25,-5.50
CChpx,DDqtw,-75.76,16.86,54.83,-43.59,82.31,-12.36,3.71
,DDdlz,-85.83,12.40,40.26,-48.20,72.93,-16.90,-4.22
,DDlmr,15.40,13.48,42.84,-46.35,78.38,-18.48,14.21
,DDcmp,-96.03,5.95,35.85,-53.72,69.08,-19.77,-9.77
