Quarter,Month,Production_Factory,Production_House,Residential_Administration,Residential_Workshop,Service_Apartment,Service_Library,Minimum
Q2,,3.28,46.99,64.04,18.12,20.37,86.92,3.28
,  August,15.47,59.90,77.82,24.35,37.92,98.25,15.47
,  May,12.63,54.78,68.96,21.33,24.95,93.46,12.63
,  November,3.28,46.99,64.04,18.12,20.37,86.92,3.28
Q3,,1.40,39.29,62.26,12.38,20.89,82.93,1.40
,  April,12.97,56.87,74.06,22.90,29.44,91.65,12.97
,  July,1.40,39.29,62.26,12.38,20.89,82.93,1.40
,  October,6.06,46.97,63.61,19.55,28.52,91.35,6.06
Q4,,2.94,44.39,62.43,16.00,26.24,84.92,2.94
,  August,2.94,44.39,62.43,16.00,26.24,84.92,2.94
,  July,14.31,56.00,75.55,23.34,31.89,95.72,14.31
,  June,8.82,48.76,68.94,20.85,27.48,91.36,8.82
