Polluted element,Type of pollution,California_Columbia_2015,California_Los-Angeles_2015,California_Portland_2017,Maryland_Baltimore_2017,Maryland_Salem_2015,Oregon_Redmond_2015,Oregon_San Francisco_2017
Air,,-17.03,12.63,-19.30,-44.66,72.18,-75.62,40.55
,  Chemical,-10.52,16.48,-96.07,-39.45,80.49,-70.42,46.95
,  Inferior Irrigation,-30.57,4.73,91.82,-56.73,57.49,-86.50,28.68
,  Inorganic Fertilizers,-2.87,21.07,-90.44,-33.57,86.86,-62.53,52.21
,  Light,-18.43,14.87,-99.66,-44.94,72.11,-78.24,39.27
,  Solid Waste,-22.74,6.01,97.85,-48.63,63.93,-80.39,35.62
Soil,,-18.52,6.43,-1.65,-47.23,69.81,-77.67,39.39
,  Industrial,-24.45,6.52,93.67,-49.04,60.35,-81.98,34.94
,  Inferior Irrigation,-6.91,-0.01,-93.77,-39.44,85.17,-66.77,49.12
,  Noise,-19.81,10.32,-0.15,-48.54,71.22,-77.74,39.82
,  Surface water,-11.41,16.03,-98.05,-43.12,75.08,-71.15,46.53
,  Urban Activities,-30.02,-0.72,90.05,-56.02,57.25,-90.72,26.53
Water,,-14.86,14.86,-39.33,-43.16,74.65,-73.42,42.77
,  Groundwater,-13.66,14.99,-98.40,-43.95,73.11,-75.65,45.49
,  Industrial,-1.93,24.17,-89.86,-31.88,87.36,-58.74,56.45
,  Inorganic Fertilizers,-28.42,5.39,90.49,-53.16,59.47,-85.03,29.77
,  Thermal,-20.80,9.31,-0.35,-47.67,68.37,-78.03,36.64
,  Urban Activities,-9.49,20.43,-98.54,-39.15,84.96,-69.63,45.51
