DD,EE,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBnqx_CCcqx,Maximum
DDcjx,,8.27,21.16,17.16,17.82,25.84,25.84
,  EEbkv,8.27,14.32,2.81,17.82,25.84,25.84
,  EEkqy,1.64,21.16,16.22,7.35,20.81,21.16
,  EEdhv,5.70,10.82,17.16,14.71,23.48,23.48
DDmx,,6.78,27.15,14.92,15.08,21.94,27.15
,  EEmz,0.24,27.15,14.92,7.94,17.78,27.15
,  EEbhk,6.78,12.12,0.64,15.08,21.53,21.53
,  EEqz,1.22,22.54,4.04,3.20,21.94,22.54
DDcy,,7.58,25.38,20.68,10.70,25.62,25.62
,  EEbkv,1.88,25.38,3.05,9.83,10.66,25.38
,  EEmz,7.58,12.48,20.68,10.70,25.62,25.62
,  EEcrv,4.07,8.42,17.88,5.24,20.32,20.32
Maximum,,8.27,27.15,20.68,17.82,25.84,27.15
,  ,8.27,27.15,20.68,17.82,25.84,27.15
