Polluted element,Type of pollution,California_Los-Angeles_2015,California_Minneapolis_2018,Massachusetts_Hastings_2015,Massachusetts_Lenox_2018,Minnesota_Berkeley_2018,Minnesota_Cambridge_2015
Air,,-37.27,38.64,26.39,-13.91,17.68,26.95
,  Chemical,27.87,-58.13,53.24,-20.20,-68.60,90.59
,  Inorganic Fertilizers,15.54,67.55,54.82,-22.56,40.25,-46.11
,  Thermal,-97.55,73.89,-67.42,-9.16,47.08,-35.43
,  Urban Activities,-94.95,71.24,64.93,-3.70,51.99,98.75
Soil,,-9.26,-28.20,-8.78,-18.77,10.15,21.45
,  Industrial,7.38,64.04,-76.28,-29.92,37.09,72.79
,  Noise,-96.39,-59.24,62.72,-8.66,45.12,95.20
,  Oxygen-depletion,24.32,-60.25,55.11,-21.29,42.31,-45.23
,  Surface water,27.65,-57.33,-76.67,-15.21,-83.93,-36.97
Water,,-7.46,38.62,26.13,-16.30,-19.88,56.47
,  Groundwater,25.39,-59.58,56.30,-21.10,-85.38,84.49
,  Industrial,33.43,75.48,-65.51,-6.84,50.18,96.53
,  Light,-98.50,71.99,60.38,-13.22,46.98,93.03
,  Urban Activities,9.85,66.59,53.35,-24.05,-91.31,-48.18
Average,,-18.00,16.35,14.58,-16.33,2.65,34.95
,  ,-18.00,16.35,14.58,-16.33,2.65,34.95
