Polluted element,Type of pollution,Maryland_Aberdeen,Maryland_Columbia,Maryland_Portland,Oregon_Baltimore,Oregon_Redmond,Oregon_Salem,Average
Air,,-60.96,15.36,-21.60,-12.59,2.94,-9.55,-14.40
,  Chemical,-65.42,97.39,37.82,75.75,21.67,51.82,36.50
,  Inferior Irrigation,-62.21,-21.86,-86.39,-47.13,55.11,-77.06,-39.92
,  Surface water,-56.27,-4.44,-81.90,-34.95,-95.27,-69.70,-57.09
,  Thermal,-59.93,-9.64,44.08,-44.03,30.25,56.75,2.91
Soil,,32.76,14.51,-34.85,17.57,-30.74,-10.84,-1.93
,  Inorganic Fertilizers,65.41,-22.62,39.62,-48.86,23.61,-80.15,-3.83
,  Light,-61.37,-10.34,-4.13,83.39,-99.97,55.47,-6.16
,  Oxygen-depletion,64.55,-6.13,-81.66,90.08,-98.75,59.61,4.62
,  Surface water,62.43,97.12,-93.24,-54.32,52.14,-78.29,-2.36
Water,,0.55,-1.56,-25.04,43.69,20.60,-43.63,-0.90
,  Groundwater,-65.70,-23.46,-90.62,-54.09,22.00,-76.08,-47.99
,  Noise,-60.35,62.86,44.60,81.80,31.40,-70.05,15.04
,  Oxygen-depletion,60.98,-32.54,31.28,66.33,3.67,44.89,29.10
,  Urban Activities,67.27,-13.12,-85.43,80.70,25.33,-73.29,0.24
