DD,EE,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs,Average
DDmx,,-19.61,1.71,8.65,2.40,-47.72,-10.92
,  EEqz,-22.08,-65.08,7.43,-42.12,36.82,-17.01
,  EEmz,-18.63,-2.56,8.88,87.66,-91.50,-3.23
,  EEbhk,-18.13,72.76,9.64,-38.35,-88.49,-12.51
DDcjx,,-16.81,27.04,12.88,26.06,-88.80,-7.93
,  EEkqy,-15.87,65.88,14.19,25.29,-89.00,0.10
,  EEdhv,-19.19,71.79,8.47,-39.41,-92.31,-14.13
,  EEhq,-15.37,-56.54,15.97,92.29,-85.07,-9.74
DDcy,,-18.52,22.96,10.51,89.05,-68.93,7.02
,  EEcrv,-20.62,63.87,8.14,88.01,-92.53,9.37
,  EEmpy,-18.68,72.85,9.99,90.28,-87.44,13.40
,  EEbkv,-16.27,-67.83,13.41,88.86,-26.82,-1.73
