Polluted element,Type of pollution,Michigan_Detroit_2017,Michigan_Minneapolis_2017,Minnesota_Port Huron_2018,Minnesota_Rochester_2018,Average
Air,Groundwater,-99.95,-48.38,-68.83,-19.55,-59.18
,Inorganic Fertilizers,10.65,-60.88,42.84,98.04,22.66
,Oxygen-depletion,37.56,83.02,-62.93,-3.52,13.53
,Thermal,23.80,-54.79,46.01,-25.92,-2.73
Soil,Industrial,8.89,68.52,-86.29,-42.34,-12.81
,Noise,27.86,74.57,56.17,-20.80,34.45
,Solid Waste,13.41,-54.01,45.08,-6.57,-0.52
,Surface water,36.92,-46.77,-65.91,-6.36,-20.53
Water,Chemical,34.88,81.59,-65.47,-12.69,9.58
,Industrial,37.75,84.35,-62.19,-1.37,14.63
,Inferior Irrigation,13.76,70.06,-86.70,99.88,24.25
,Light,24.73,76.05,50.58,-23.81,31.89
