Polluted element,Type of pollution,California_Albany_2019,California_Malibu_2019,Florida_Fort Lauderdale_2018,Florida_Washington_2018,Georgia_Columbus_2022,Georgia_Los-Angeles_2022,Georgia_Tampa_2022,Average
Air,Groundwater,50.38,-51.02,-98.54,34.47,4.05,-23.41,80.17,-0.56
,Inferior Irrigation,54.17,-44.06,-95.84,37.87,6.04,-18.24,84.44,3.48
,Light,44.37,-60.83,93.49,29.34,2.97,-30.77,71.73,21.47
,Noise,61.63,-41.64,-73.48,41.00,21.16,-9.01,88.51,12.60
Soil,Groundwater,63.44,-35.24,-67.25,44.05,28.15,-1.26,91.54,17.63
,Inorganic Fertilizers,53.43,-47.82,-96.48,36.23,8.41,-18.06,83.17,2.70
,Light,60.43,-41.62,-73.52,40.30,14.43,-11.61,82.53,10.13
,Oxygen-depletion,49.93,-52.17,-99.97,32.54,4.34,-25.33,78.57,-1.73
Water,Industrial,51.61,-49.16,-98.95,34.08,7.88,-22.75,82.87,0.80
,Noise,48.26,-56.55,96.19,31.94,4.93,-29.25,72.52,24.01
,Oxygen-depletion,61.15,-39.44,-71.11,43.91,25.27,-5.13,90.43,15.01
,Solid Waste,56.35,-44.83,-87.71,39.63,11.74,-13.25,83.04,6.42
Average,,54.60,-47.03,-56.10,37.11,11.61,-17.34,82.46,9.33
