CC,DD,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbkv,AApqr_BBnqx,AApqr_BBbpv,Average
CCfnw,,-21.69,6.29,1.00,1.75,-16.89,-5.91
,  DDkrs,21.19,46.08,1.33,-45.72,-14.74,1.63
,  DDgv,-38.71,-76.17,-62.32,32.85,-16.05,-32.08
,  DDqz,-47.54,48.97,64.00,18.13,-19.87,12.74
CChpx,,66.21,0.10,-18.74,-37.21,-15.86,-1.10
,  DDlmr,22.08,25.93,-62.27,-37.84,-13.92,-13.20
,  DDdlz,91.35,-75.73,-59.69,-93.63,-15.49,-30.64
,  DDcmp,85.22,50.10,65.73,19.83,-18.16,40.54
CCbt,,-1.74,-37.46,42.92,20.10,-20.50,0.66
,  DDcwz,-49.51,-81.05,62.50,16.20,-25.87,-15.55
,  DDbmz,88.11,-77.12,66.82,24.68,-17.79,16.94
,  DDmx,-43.82,45.78,-0.56,19.42,-17.85,0.59
Average,,14.26,-10.36,8.39,-5.12,-17.75,-2.11
,  ,14.26,-10.36,8.39,-5.12,-17.75,-2.11
