CC,DD,AAcy_BBhpt,AAcy_BBbkv,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp,AAmz_BBgqt,AAmz_BBbpv
CCbt,DDkrs,-39.36,89.21,34.13,-97.98,-12.24,58.85,-66.10
,DDcwz,-58.92,63.58,24.58,96.90,-25.34,48.88,-72.52
,DDbmz,-48.16,72.58,23.70,-72.96,-18.59,55.83,-69.34
,DDmx,-63.81,61.43,13.50,92.96,-32.76,41.28,-86.55
CChpx,DDcmp,-53.83,66.24,25.40,99.79,-21.35,54.73,-71.56
,DDlmr,-59.33,63.39,23.99,94.65,-28.05,43.18,-81.58
,DDcwz,-32.74,91.08,40.43,-86.80,-1.52,58.20,-65.51
,DDmx,-9.14,79.89,30.07,-99.05,-12.57,57.72,-68.21
CCfnw,DDlmr,-36.51,89.25,35.78,-91.18,-9.32,57.43,-68.90
,DDgv,-47.52,75.54,29.62,-0.45,-12.87,56.33,-68.18
,DDkrs,-70.52,62.33,18.52,89.60,-29.47,40.51,-82.48
,DDqz,-59.75,61.25,25.57,97.35,-25.71,49.80,-72.38
