Polluted element,Type of pollution,California_Berkeley,California_Redmond,Florida_Salem,Florida_Tampa,Oregon_Fort Lauderdale,Oregon_Malibu,Oregon_Portland
Air,,81.80,-42.19,26.60,-58.64,54.19,-28.49,5.90
,  Groundwater,86.62,-82.36,31.93,-55.59,61.66,-11.72,9.65
,  Light,80.26,43.96,28.47,-60.31,51.35,-32.87,5.38
,  Thermal,78.51,-88.17,19.40,-60.01,49.55,-40.88,2.67
Water,,-3.79,-41.51,-13.88,28.10,-29.99,-18.81,7.59
,  Noise,-49.13,-87.34,19.66,69.97,49.88,-34.28,3.85
,  Oxygen-depletion,80.43,-83.41,30.41,69.46,-76.22,-18.21,6.25
,  Thermal,-42.67,46.22,-91.70,-55.13,-63.64,-3.95,12.67
Average,,39.00,-41.85,6.36,-15.27,12.10,-23.65,6.75
,  ,39.00,-41.85,6.36,-15.27,12.10,-23.65,6.75
