Polluted element,Type of pollution,Massachusetts_Hastings,Massachusetts_Las Vegas,Minnesota_Lenox,Minnesota_Rochester,Nevada_Cambridge,Nevada_Minneapolis,Nevada_Reno
Air,,-62.83,48.74,81.53,-33.41,4.49,-9.91,18.74
,  Inorganic Fertilizers,-67.67,43.02,77.94,-35.20,98.79,-12.39,13.15
,  Light,-52.49,54.25,83.67,-27.15,-93.65,-5.25,24.17
,  Oxygen-depletion,-50.41,63.09,92.52,-21.55,-85.49,-1.46,31.87
,  Surface water,-80.76,34.60,71.99,-49.73,98.30,-20.55,5.77
Soil,,-63.62,46.97,79.40,-33.75,3.98,-10.48,15.66
,  Groundwater,-50.24,61.94,90.85,-21.60,-88.92,-2.74,28.38
,  Oxygen-depletion,-83.14,34.44,71.81,-46.34,99.33,-18.33,4.58
,  Solid Waste,-69.04,40.25,74.12,-37.89,99.52,-13.52,11.32
,  Thermal,-52.06,51.26,80.82,-29.18,-93.99,-7.31,18.35
Water,,-52.39,45.12,77.54,-37.04,2.94,-12.27,12.66
,  Chemical,-72.62,40.04,74.61,-44.80,99.78,-16.97,8.00
,  Groundwater,-85.37,32.45,70.63,-49.02,98.72,-19.60,-0.78
,  Industrial,-1.11,46.76,79.26,-30.67,-97.44,-8.54,17.34
,  Noise,-50.47,61.25,85.65,-23.68,-89.31,-3.98,26.07
Average,,-59.62,46.95,79.49,-34.73,3.80,-10.89,15.69
,  ,-59.62,46.95,79.49,-34.73,3.80,-10.89,15.69
