Polluted element,Type of pollution,Maryland_Aberdeen,Maryland_Baltimore,Maryland_Minneapolis,Minnesota_Columbia,Minnesota_Hastings,Average
Air,,25.35,19.79,-15.56,-37.40,20.64,2.56
,  Groundwater,21.85,62.50,-16.36,-80.56,20.87,1.66
,  Inorganic Fertilizers,29.84,64.83,-13.35,51.27,85.15,43.55
,  Light,24.35,-67.96,-16.98,-82.91,-44.10,-37.52
Soil,,-15.01,-23.68,-12.48,-14.58,24.05,-8.34
,  Chemical,27.35,-64.03,-12.77,-14.78,23.37,-8.17
,  Noise,25.36,61.83,-13.87,47.20,-43.12,15.48
,  Solid Waste,-97.74,-68.85,-10.81,-76.17,91.91,-32.33
Water,,-42.18,-4.38,3.88,-38.44,19.40,-12.34
,  Oxygen-depletion,17.73,-69.86,-19.31,-83.02,81.78,-14.54
,  Surface water,-44.91,-7.21,43.31,-83.14,18.69,-14.65
,  Thermal,-99.37,63.94,-12.37,50.85,-42.26,-7.84
