DD,EE,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt
DDmx,,27.53,6.57,21.64,24.91,16.66,12.73,15.04,23.13
,  EEbhk,25.27,6.57,21.64,24.91,16.66,12.73,15.04,23.13
,  EEqz,5.33,2.39,19.96,14.42,15.71,10.03,11.64,22.31
,  EEmz,27.53,0.62,1.30,16.14,13.70,2.60,1.46,0.32
DDcjx,,27.72,8.45,21.90,26.13,17.94,13.36,16.16,25.78
,  EEdhv,27.72,3.20,7.29,4.10,16.23,12.91,13.23,22.54
,  EEkqy,26.38,2.62,2.08,18.02,14.04,10.14,11.89,2.59
,  EEmz,26.51,8.45,21.90,26.13,17.94,13.36,16.16,25.78
DDcy,,26.62,4.67,21.00,25.75,17.37,11.61,15.10,24.33
,  EEmpy,6.43,3.32,21.00,25.75,17.37,0.79,15.10,24.33
,  EEbkv,26.62,1.82,18.24,19.53,14.12,10.52,9.96,22.74
,  EEcrv,26.24,4.67,19.68,22.49,5.10,11.61,12.40,22.72
Maximum,,27.72,8.45,21.90,26.13,17.94,13.36,16.16,25.78
,  ,27.72,8.45,21.90,26.13,17.94,13.36,16.16,25.78
