DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx
Maximum,,5.43,20.53,10.83,27.68,10.29,20.21,27.22,17.65
,  ,5.43,20.53,10.83,27.68,10.29,20.21,27.22,17.65
DDmx,,2.78,19.45,10.18,26.24,10.12,18.77,26.27,16.27
,  EEcrv,1.12,16.54,10.18,25.73,10.12,18.77,26.27,16.27
,  EEmz,0.57,17.27,8.32,20.18,5.74,14.91,23.18,12.78
,  EEkqy,2.78,19.45,8.02,26.24,8.27,17.23,25.12,14.17
DDcy,,5.43,20.53,10.83,27.68,10.29,20.21,27.22,17.65
,  EEqz,3.81,20.53,10.83,27.38,8.55,17.16,27.22,10.38
,  EEdhv,5.43,16.92,10.26,27.68,10.29,20.21,8.51,17.65
,  EEbkv,1.15,19.98,8.90,25.66,5.28,16.75,22.63,9.48
