DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,Maximum
DDcy,,25.92,17.87,11.99,16.34,5.84,26.22,18.10,26.22
,  EEcrv,14.66,2.87,9.30,13.88,3.74,6.83,7.30,14.66
,  EEmz,25.92,17.87,11.99,16.34,5.84,1.52,3.81,25.92
,  EEbkv,16.93,13.49,8.42,10.46,1.47,26.22,18.10,26.22
DDcjx,,24.43,15.07,12.74,17.49,7.54,27.28,23.75,27.28
,  EEdhv,23.17,15.07,9.12,12.52,5.22,6.90,20.44,23.17
,  EEkqy,20.50,1.21,8.87,11.57,2.98,27.28,6.78,27.28
,  EEbkv,24.43,5.89,12.74,17.49,7.54,1.77,23.75,24.43
DDmx,,24.03,14.51,11.33,15.77,5.64,27.24,22.22,27.24
,  EEbhk,24.03,4.54,11.33,15.77,5.64,5.43,22.22,24.03
,  EEmz,18.45,12.54,8.44,9.08,0.80,27.24,18.30,27.24
,  EEqz,13.16,14.51,9.24,12.78,3.38,4.99,19.50,19.50
Maximum,,25.92,17.87,12.74,17.49,7.54,27.28,23.75,27.28
,  ,25.92,17.87,12.74,17.49,7.54,27.28,23.75,27.28
