DD,EE,AAhpx_BBlsx_CCcqx,AAhpx_BBlmr_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt
DDmx,,21.99,-9.54,9.48,-55.05,-11.38,31.01,22.99,32.39
,  EEcrv,-41.77,-72.72,-52.28,43.47,-12.21,-31.64,33.78,64.62
,  EEmz,83.90,49.50,-61.53,-90.96,-16.99,91.10,-0.81,62.21
,  EEkqy,-43.85,53.50,72.37,-90.20,-12.68,94.23,24.35,63.64
,  EEbhk,89.68,-68.42,79.37,-82.52,-3.65,-29.64,34.63,-60.92
DDcy,,23.24,-8.72,-20.64,-21.78,-7.91,32.12,-3.87,-63.26
,  EEdhv,-39.67,-72.60,-51.71,44.11,-4.38,99.58,33.08,-63.40
,  EEqz,86.18,53.83,74.06,39.52,-12.49,91.86,-99.94,-63.27
,  EEmz,91.39,60.86,-48.41,-80.97,-2.59,-27.64,35.02,-59.95
,  EEbkv,-44.93,-76.96,-56.50,-89.76,-12.18,-35.30,16.34,-66.42
