Polluted element,Type of pollution,California_Albany_2016,California_Los-Angeles_2020,California_Malibu_2016,Georgia_Berkeley_2015,Georgia_Columbus_2021,Georgia_Washington_2015,Average
Air,,44.50,-31.74,20.05,-5.32,-17.39,-15.96,-0.98
,  Groundwater,-48.03,-78.21,10.43,29.89,-67.86,-22.28,-29.34
,  Light,86.56,53.73,22.03,-92.50,69.77,-18.43,20.19
,  Oxygen-depletion,94.98,-70.73,27.68,46.65,-54.07,-7.17,6.22
Water,,-4.28,9.42,15.00,-10.53,21.80,-20.62,1.80
,  Noise,-45.28,52.84,11.19,28.52,62.03,-19.42,14.98
,  Oxygen-depletion,-54.58,-79.90,8.29,27.19,60.51,-27.24,-10.96
,  Thermal,87.01,55.32,25.53,-87.31,-57.14,-15.20,1.37
Average,,20.11,-11.16,17.53,-7.93,2.21,-18.29,0.41
,  ,20.11,-11.16,17.53,-7.93,2.21,-18.29,0.41
