DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AApqr_BBgv_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AAgqt_BBhpt_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs
Average,,22.82,42.59,-36.69,74.41,-59.08,-89.70,-17.37,42.24
,  ,22.82,42.59,-36.69,74.41,-59.08,-89.70,-17.37,42.24
DDmx,,20.20,63.91,-37.85,72.00,-61.99,-90.61,-19.17,41.85
,  EEbhk,27.21,97.15,-35.84,80.62,-58.42,-88.60,-18.10,43.07
,  EEqz,15.78,97.69,-40.14,66.78,-62.76,-92.06,-22.48,39.69
,  EEmz,17.61,-3.11,-37.56,68.61,-64.78,-91.16,-16.93,42.79
DDcy,,21.92,31.65,-36.84,74.67,-59.11,-90.23,-18.53,41.66
,  EEmpy,28.17,-0.66,-35.63,81.23,-56.33,-87.44,-16.64,43.84
,  EEcrv,18.57,98.14,-38.03,72.96,-59.12,-92.21,-23.82,37.92
,  EEbkv,19.02,-2.54,-36.85,69.82,-61.88,-91.03,-15.12,43.20
DDcjx,,26.35,32.20,-35.38,76.55,-56.14,-88.28,-14.42,43.22
,  EEkqy,25.34,-1.80,-36.56,71.34,-57.38,-86.50,-12.92,44.20
,  EEdhv,22.84,97.51,-36.79,75.56,-58.50,-92.65,-19.09,36.57
,  EEhq,30.87,0.89,-32.77,82.74,-52.53,-85.69,-11.25,48.87
