DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCkrs,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt
DDcy,EEbkv,-21.02,23.92,-15.18,1.50,16.48
,EEjvz,-81.05,-34.83,-10.28,70.70,26.47
,EEcrv,-92.43,-45.87,-21.50,59.52,9.63
,EEmpy,40.41,90.04,-13.71,66.14,24.23
DDcjx,EEhq,-86.79,88.80,-12.92,67.88,25.49
,EEkqy,-83.69,90.25,-13.42,1.61,19.04
,EEdfk,-78.21,94.67,-10.19,69.03,27.91
,EEdhv,38.28,88.63,-21.01,63.26,10.69
DDmx,EEmz,-22.31,23.05,-17.01,-64.50,15.09
,EEksy,-83.52,-36.77,-12.09,69.53,26.87
,EEbhk,39.11,-39.26,-23.74,65.26,23.75
,EEqz,36.71,81.54,-23.95,59.46,8.01
Average,,-32.88,35.35,-16.25,44.12,19.47
