Characteristic,Intensity,2020_Oregon_Salem,2020_Oregon_Springfield,2022_Illinois_Champaign,2022_Illinois_Chicago,2022_Illinois_Redmond
Humidity,,27.21,16.25,25.85,7.11,22.36
,  11-20,9.32,16.25,25.85,7.11,22.36
,  High,24.87,4.53,21.58,3.32,19.60
,  Storm,27.21,1.89,19.20,1.95,3.95
Temperature,,26.20,17.58,21.97,8.41,23.03
,  Breeze,20.92,11.35,20.87,1.79,17.11
,  Calm,4.27,17.58,21.97,8.41,23.03
,  Low,26.20,12.86,21.62,4.21,19.69
Wind,,27.63,15.27,24.55,6.62,20.80
,  31-40,27.63,15.27,24.55,6.62,20.80
,  Calm,27.32,8.44,18.35,0.47,15.39
,  Medium,24.53,6.28,21.71,3.39,6.54
Maximum,,27.63,17.58,25.85,8.41,23.03
,  ,27.63,17.58,25.85,8.41,23.03
